Parametre;Etalement;Fmin C;Fmin E;Fmin P;Force d'adhésion TPA;Visco 1 - Visco 2;%R (60 s);CoF à 1 s;Pente;?(0,01) (Pa.s);?(600) (Pa.s);k
Fluide;9,17;-2,238;-0,14;-0,01;-0,006;42,825;1,019;8,071;-0,034;53,94;0,1;1,13
Fluide 9;9,33;-3,867;-0,524;-0,02;-0,017;664,9;0,763;8,893;-0,032;665,49;0,15;2,88
Fluide 5;6,83;-21,289;-5,027;-0,164;-0,131;5088,78;0,3;15,918;0,183;3314,97;0,51;0,98
Non fluide;4,08;-63,167;-30,522;-1,034;-0,914;6202,647;0,623;14,484;-0,146;4050,5;1,44;4,26
Filant;8,42;-3,381;-0,568;-0,016;-0,015;705,557;0,5;6,023;-0,03;528,2;0,13;0,57
Filant 5;9,25;-3,929;-0,641;-0,021;-0,019;1061,383;0,625;7,077;-0,027;831,38;0,1;0,47
Non Filant;6,83;-21,289;-5,027;-0,164;-0,131;5088,78;0,3;15,918;0,183;3314,97;0,51;0,98
Glissant;8,83;-20,077;-4,29;-0,124;-0,109;8805,582;1,021;9,459;-0,06;7635,1;0,99;31,18
Glissant 5;4,42;-45,794;-23,018;-0,917;-0,774;6332,925;0,526;12,22;-0,109;3118,13;1,18;7,69
Non glissant;0,58;-98,8;-33,44;-1,445;-1,212;24093,506;0,342;12,907;-0,191;24958;5,55;1061,32
Coussin;3,83;-28,215;-12,9;-0,19;-0,152;829,458;0,766;13,068;-0,164;385,99;2,42;50,7
Coussin 7;9,58;-6,92;-0,454;-0,015;-0,01;5,282;0,945;8,282;-0,022;6,31;0,23;22,22
Non coussin;9,17;-2,238;-0,14;-0,01;-0,006;42,825;1,019;8,071;-0,034;53,94;0,1;1,13
Cassant;9,42;-7,185;-1,394;-0,045;-0,034;1729,999;1,072;7,771;-0,02;2624,37;0,35;9,45
Cassant 5;8,83;-20,077;-4,29;-0,124;-0,109;8805,582;1,021;9,459;-0,06;7635,1;0,99;31,18
Non cassant;5,17;-31,772;-3,62;-0,11;-0,083;3508,499;0,605;9,693;-0,072;3606,17;0,55;0
Etalement;8,83;-20,077;-4,29;-0,124;-0,109;8805,582;1,021;9,459;-0,06;7635,1;0,99;31,18
Etalement 5;4,42;-45,794;-23,018;-0,917;-0,774;6332,925;0,526;12,22;-0,109;3118,13;1,18;7,69
Non étalement;1,17;-91,933;-37,735;-1,445;-1,09;26078,404;0,291;44,933;-0,994;44456;3,5;72,9
Doux;7,25;-25,466;-23,93;-1,14;-1,007;0;0;18,582;-0,252;24637,67;1,63;13,82
Non doux;0,58;-98,8;-33,44;-1,445;-1,212;24093,506;0,342;12,907;-0,191;24958;5,55;1061,32
Collant;1,17;-91,933;-37,735;-1,445;-1,09;26078,404;0,291;44,933;-0,994;44456;3,5;72,9
Collant 5;3,33;-40,517;-3,544;-0,065;-0,051;1967,585;0,98;8,844;-0,042;1727,9;1,36;2,49
Non collant;7,08;-10,801;-1,524;-0,045;-0,044;1960,618;0,982;11,133;0,018;2507,27;0,46;5,94
Gras;5,17;-31,772;-3,62;-0,11;-0,083;3508,499;0,605;9,693;-0,072;3606,17;0,55;0
Gras 5;8,25;-18,06;-3,328;-0,107;-0,096;4006,728;0,898;14,233;-0,018;3391,2;0,76;20,86
Pénétrant;9,25;-11,094;-1,999;-0,064;-0,066;2553,4;0,962;15,354;-0,036;2372,37;0,51;13,58
Non pénétrant;7,33;-34,276;-10,574;-0,394;-0,315;2012,171;0,64;9,762;-0,048;6971,5;1,33;17,97
Pelucheux;8,42;-3,381;-0,568;-0,016;-0,015;705,557;0,5;6,023;-0,03;528,2;0,13;0,57
Non pelucheux;9,25;-11,094;-1,999;-0,064;-0,066;2553,4;0,962;15,354;-0,036;2372,37;0,51;13,58
