Parametre;Filant;%Jinf;%JSM;JSM (Pa-1);n1 (s);CoF à 30 s;Moyenne pts;CoF 1;CoF 10
Fluide;0;84,73%;6,09%;3,833;7,62;6,232;6,793;0,069;0,089
Fluide 9;2,58;55,26%;16,32%;3,367;3,208;7,49;7,868;0,055;0,064
Fluide 5;1;35,96%;42,69%;2,61;1,383;21,646;20,137;0,236;0,325
Non fluide;0,5;52,66%;5,55%;0,317;22,344;8,825;10,696;0,085;0,081
Filant;9,17;64,15%;8,85%;18,333;3,101;5,182;5,459;0,045;0,046
Filant 5;6,5;43,82%;15,42%;5,8;3,051;6,227;6,559;0,062;0,056
Non Filant;1;35,96%;42,69%;2,61;1,383;21,646;20,137;0,236;0,325
Glissant;0,5;24,51%;46,11%;4,407;1,383;7,21;7,837;0,055;0,047
Glissant 5;0,92;51,73%;5,01%;0,343;21,763;8,169;9,158;0,096;0,087
Non glissant;8,33;50,60%;11,41%;0,16;32,929;4,884;6,733;0,092;0,049
Coussin;8,75;98,36%;0,45%;10;4,164;6,5;7,862;0,056;0,059
Coussin 7;4,58;99,46%;0,29%;23;1,593;7,19;7,461;0,057;0,062
Non coussin;0;84,73%;6,09%;3,833;7,62;6,232;6,793;0,069;0,089
Cassant;0,67;30,46%;54,08%;4,097;2,212;6,907;7,01;0,051;0,064
Cassant 5;0,5;24,51%;46,11%;4,407;1,383;7,21;7,837;0,055;0,047
Non cassant;3,33;37,48%;46,92%;3,7;2,129;7,288;8,292;0,065;0,051
Etalement;0,5;24,51%;46,11%;4,407;1,383;7,21;7,837;0,055;0,047
Etalement 5;0,92;51,73%;5,01%;0,343;21,763;8,169;9,158;0,096;0,087
Non étalement;2,5;30,17%;38,93%;1,22;19,012;8,396;17,359;0,14;0,071
Doux;0;21,70%;51,58%;0,224;4,192;6,955;8,453;0,111;0,085
Non doux;8,33;50,60%;11,41%;0,16;32,929;4,884;6,733;0,092;0,049
Collant;2,5;30,17%;38,93%;1,22;19,012;8,396;17,359;0,14;0,071
Collant 5;5,58;42,65%;32,23%;2,84;11,012;7,609;7,928;0,06;0,064
Non collant;0,5;41,10%;33,37%;1,897;4,426;11,532;11,273;0,086;0,099
Gras;3,33;37,48%;46,92%;3,7;2,129;7,288;8,292;0,065;0,051
Gras 5;1;48,38%;28,90%;4,5;2,126;12,803;12,816;0,128;0,118
Pénétrant;0,67;46,94%;29,98%;3,803;2,085;12,643;12,802;0,151;0,161
Non pénétrant;1,92;61,29%;2,13%;0,09;12,825;7,825;7,867;0,086;0,087
Pelucheux;9,17;64,15%;8,85%;18,333;3,101;5,182;5,459;0,045;0,046
Non pelucheux;0,67;46,94%;29,98%;3,803;2,085;12,643;12,802;0,151;0,161
