Parametre;Fluide;Fmin E;Fmin P;Force d'adhésion TPA;JSM (Pa-1);n1 (s);Pente;CoF 1;CoF 10;G' (Pa);G'' (Pa)
Fluide;9,92;-0,14;-0,01;-0,006;3,833;7,62;-0,034;0,069;0,089;12,47;5,82
Fluide 9;9,08;-0,524;-0,02;-0,017;3,367;3,208;-0,032;0,055;0,064;124,25;31,26
Fluide 5;4,67;-5,027;-0,164;-0,131;2,61;1,383;0,183;0,236;0,325;1417,47;153,3
Non fluide;0,25;-30,522;-1,034;-0,914;0,317;22,344;-0,146;0,085;0,081;23755;7961,67
Filant;9;-0,568;-0,016;-0,015;18,333;3,101;-0,03;0,045;0,046;29,76;10,71
Filant 5;7,67;-0,641;-0,021;-0,019;5,8;3,051;-0,027;0,062;0,056;65,15;15,77
Non Filant;4,67;-5,027;-0,164;-0,131;2,61;1,383;0,183;0,236;0,325;1417,47;153,3
Glissant;6,58;-4,29;-0,124;-0,109;4,407;1,383;-0,06;0,055;0,047;569,19;38,72
Glissant 5;1,08;-23,018;-0,917;-0,774;0,343;21,763;-0,109;0,096;0,087;10771,67;4337,47
Non glissant;0,25;-33,44;-1,445;-1,212;0,16;32,929;-0,191;0,092;0,049;15975;4191,3
Coussin;2,08;-12,9;-0,19;-0,152;10;4,164;-0,164;0,056;0,059;73,91;89,88
Coussin 7;8,33;-0,454;-0,015;-0,01;23;1,593;-0,022;0,057;0,062;8,5;14,83
Non coussin;9,92;-0,14;-0,01;-0,006;3,833;7,62;-0,034;0,069;0,089;12,47;5,82
Cassant;8,25;-1,394;-0,045;-0,034;4,097;2,212;-0,02;0,051;0,064;193,51;15,46
Cassant 5;6,58;-4,29;-0,124;-0,109;4,407;1,383;-0,06;0,055;0,047;569,19;38,72
Non cassant;6,25;-3,62;-0,11;-0,083;3,7;2,129;-0,072;0,065;0,051;679,39;59,42
Etalement;6,58;-4,29;-0,124;-0,109;4,407;1,383;-0,06;0,055;0,047;569,19;38,72
Etalement 5;1,08;-23,018;-0,917;-0,774;0,343;21,763;-0,109;0,096;0,087;10771,67;4337,47
Non étalement;0,75;-37,735;-1,445;-1,09;1,22;19,012;-0,994;0,14;0,071;12596,67;1534,9
Doux;0,25;-23,93;-1,14;-1,007;0,224;4,192;-0,252;0,111;0,085;13489;1086,87
Non doux;0,25;-33,44;-1,445;-1,212;0,16;32,929;-0,191;0,092;0,049;15975;4191,3
Collant;0,75;-37,735;-1,445;-1,09;1,22;19,012;-0,994;0,14;0,071;12596,67;1534,9
Collant 5;6,25;-3,544;-0,065;-0,051;2,84;11,012;-0,042;0,06;0,064;432,26;88,27
Non collant;7;-1,524;-0,045;-0,044;1,897;4,426;0,018;0,086;0,099;760,68;136,25
Gras;6,25;-3,62;-0,11;-0,083;3,7;2,129;-0,072;0,065;0,051;679,39;59,42
Gras 5;7,5;-3,328;-0,107;-0,096;4,5;2,126;-0,018;0,128;0,118;643,51;105,95
Pénétrant;8;-1,999;-0,064;-0,066;3,803;2,085;-0,036;0,151;0,161;497,17;80,22
Non pénétrant;3,33;-10,574;-0,394;-0,315;0,09;12,825;-0,048;0,086;0,087;16047;10671
Pelucheux;9;-0,568;-0,016;-0,015;18,333;3,101;-0,03;0,045;0,046;29,76;10,71
Non pelucheux;8;-1,999;-0,064;-0,066;3,803;2,085;-0,036;0,151;0,161;497,17;80,22
