Parametre;Pelucheux;n1 (s);%JSM;CoF 1;CoF 10
Fluide;8,33%;7,62;6,09%;0,069;0,089
Fluide 9;8,33%;3,208;16,32%;0,055;0,064
Fluide 5;91,67%;1,383;42,69%;0,236;0,325
Non fluide;0,00%;22,344;5,55%;0,085;0,081
Filant;66,67%;3,101;8,85%;0,045;0,046
Filant 5;8,33%;3,051;15,42%;0,062;0,056
Non Filant;91,67%;1,383;42,69%;0,236;0,325
Glissant;75,00%;1,383;46,11%;0,055;0,047
Glissant 5;0,00%;21,763;5,01%;0,096;0,087
Non glissant;0,00%;32,929;11,41%;0,092;0,049
Coussin;91,67%;4,164;0,45%;0,056;0,059
Coussin 7;33,33%;1,593;0,29%;0,057;0,062
Non coussin;8,33%;7,62;6,09%;0,069;0,089
Cassant;16,67%;2,212;54,08%;0,051;0,064
Cassant 5;75,00%;1,383;46,11%;0,055;0,047
Non cassant;0,00%;2,129;46,92%;0,065;0,051
Etalement;75,00%;1,383;46,11%;0,055;0,047
Etalement 5;0,00%;21,763;5,01%;0,096;0,087
Non étalement;66,67%;19,012;38,93%;0,14;0,071
Doux;0,00%;4,192;51,58%;0,111;0,085
Non doux;0,00%;32,929;11,41%;0,092;0,049
Collant;66,67%;19,012;38,93%;0,14;0,071
Collant 5;33,33%;11,012;32,23%;0,06;0,064
Non collant;33,33%;4,426;33,37%;0,086;0,099
Gras;0,00%;2,129;46,92%;0,065;0,051
Gras 5;41,67%;2,126;28,90%;0,128;0,118
Pénétrant;25,00%;2,085;29,98%;0,151;0,161
Non pénétrant;0,00%;12,825;2,13%;0,086;0,087
Pelucheux;66,67%;3,101;8,85%;0,045;0,046
Non pelucheux;25,00%;2,085;29,98%;0,151;0,161
