Produit;Fluid;Softness;Adherence;High peak;Slippery;Spreading;No visual residue;Greasy;Sticky;No visual residue 1min;Smooth;Greasy 1min;Sticky 1min;n;η1000;n1000;σ0.01;σ1;σ1000;sigma 0.01;sigma1;sigma1000;Yield stress;k;n(2);G1;G2;tanD;Gamma DL;Sigma DL;Sigma crossover;Gamma crossover;10s;60s;Firmness;Cohesiveness;Consistency;Viscosity index;Fmax;Fmin;Aplus;Aminus
101;0;6;6.9;4.6;7.3;6.6;5.6;5.1;5.4;6.6;5.9;4.1;4.1;3484.7;0.314;0.314;34.80;55.81;315.37;34.80;55.81;315.37;44.58;11.573;0.45;331.51;46.852;0.142;3.235;9.834;65.475;82.496;0;101.05;2.58;-1.993;48.978;28.783;7.382;-3.608;54.167;-27.201
102;0;4.2;7.7;8.2;4.7;3.9;6.3;5.7;6.2;7.2;5.1;4.3;4.1;5476.25;0.571;0.571;55.92;76.27;370.08;55.92;76.27;370.08;66.401;7.001;0.595;4148.25;1090.05;0.263;0.554;22.68;93.995;51.992;48.05;61.7;4.947;-4.21;96.219;61.941;21.112;-9.127;143.248;-68.125
103;0;5.8;5.9;3.1;5.8;6.3;5.8;5.4;5.3;7.3;6;4;4.1;3339.15;0.386;0.386;79.26;98.83;423.57;79.26;98.83;423.57;31.343;25.521;0.358;336.575;43.913;0.13;4.235;14.031;77.145;67.046;93.7;105.2;2.907;-2.363;61.237;35.213;8.129;-3.29;59.67;-24.241
104;0;5.9;5.8;9.1;6.7;6.5;6;5.2;6.6;7.2;3.1;4.2;6.1;3479.5;0.414;0.414;101.49;120.34;477.67;101.49;120.34;477.67;68.596;11.397;0.502;345.125;64.561;0.187;3.91;12.547;103.2;111.715;50.9;69.45;4.737;-3.317;91.169;44.001;14.974;-3.069;108.638;-17.844
105;0;5.2;8;3.4;6.1;6.2;7;4.1;3.2;8.3;5.8;2.8;1.9;833.14;0.322;0.322;80.06;100.27;447.08;80.06;100.27;447.08;9.804;4.85;0.876;3111.9;873.48;0.281;0.069;1.991;84.785;42.296;0;23.85;4.81;-3.797;90.253;51.378;19.131;-8.726;143.286;-56.202
106;0;3.6;7.8;8.2;3.5;3.3;6;6.4;6.1;6.;5.5;5.2;4.1;1532.75;0.504;0.504;56.07;78.01;417.57;56.07;78.01;417.57;28.992;9.383;0.506;2111.25;481.785;0.229;0.818;16.724;77.345;32.35;20.5;32.35;4.013;-3.54;83.656;52.393;17.642;-8.073;133.194;-58.288
107;0.2;3.7;3.7;3.5;5.1;5.8;5.7;4.6;4.9;7.6;5.5;3.3;3.5;7349.25;0.502;0.502;33.25;57.35;385.73;33.25;57.35;385.73;99.128;23.098;0.395;1179;114.445;0.097;2.89;32.19;159;58.181;0;83.6;5.387;-4.65;109.177;72.323;15.95;-8.551;111.359;-64.669
108;0;3;8;6;4;4;4;7;8;4;4;7;7;772.655;0.33;0.33;33.81;65.13;397.89;33.81;65.13;397.89;23.338;2.272;0.683;3078.9;738.19;0.24;0.44;12.925;57.035;33.336;13.65;24.25;3.503;-2.92;72.104;40.771;13.014;-5.994;91.56;-44.262
109;5;7;8.5;7;6;5;3;3;6;2;7;8;6;55.808;0.492;0.492;34.18;72.35;404.49;34.18;72.35;404.49;0.402;5.537;0.665;39.654;27.792;0.701;1.615;0.721;2.386;7.058;85.45;83.75;0.69;-0.455;12.882;8.35;1.751;-0.776;19.751;-6.026
110;0;5.7;8.2;9.1;6.5;6.9;4.6;5.2;6.3;6;6.4;4.8;5.6;2298.15;0.192;0.192;34.76;77.35;415.67;34.76;77.35;415.67;27.05;4.02;0.555;676.67;186.215;0.275;1.28;7.6;33.345;43.428;0;43.65;1.903;-1.49;39.368;22.577;7.086;-3.036;50.679;-23.734
111;0;5;6;4.5;8;7;6;3;3;9;8;3;2;824.65;0.205;0.205;43.37;70.94;368.11;43.37;70.94;368.11;35.156;1.559;0.644;1384.55;349.625;0.253;0.854;10.826;50.44;34.247;20.6;38.4;2.477;-1.967;52.082;30.425;10.882;-4.344;75.669;-33.257
112;0.3;5.6;8.7;8.3;5.2;4.5;3.4;6;6.1;4.9;5.4;5.7;5.5;1219.35;0.217;0.217;53.76;61.57;311.51;53.76;61.57;311.51;15.22;8.04;0.446;976.5;436.965;0.448;0.951;8.89;63.16;42.54;12.4;22.9;4.453;-3.36;89.652;46.76;16.68;-5.829;118.862;-42.265
113;0;2.4;4.8;5.3;4.7;5.3;8.5;4.5;3.3;9.2;6.2;3.2;1.6;3415.95;0.761;0.761;64.49;58.57;244.14;64.49;58.57;244.14;89.974;16.676;0.536;4151.5;1106.9;0.267;0.814;31.515;112.65;8.955;49.1;70.15;7.363;-6.137;153.86;100.207;32.517;-11.043;235.326;-79.501
