Parametre;Effet coussin;%JKV;n1 (s);JSM (Pa-1);tan (?);? DLVE (%)
Fluide;0,17;9,18%;7,62;3,833;0,47;6,73%
Fluide 9;2,42;28,42%;3,208;3,367;0,25;5,50%
Fluide 5;7,67;21,35%;1,383;2,61;0,11;6,09%
Non fluide;7;41,79%;22,344;0,317;0,35;1,20%
Filant;6,92;27,00%;3,101;18,333;0,36;30,63%
Filant 5;6,42;40,76%;3,051;5,8;0,24;20,57%
Non Filant;7,67;21,35%;1,383;2,61;0,11;6,09%
Glissant;8,08;29,39%;1,383;4,407;0,07;11,63%
Glissant 5;6,25;43,25%;21,763;0,343;0,4;1,24%
Non glissant;6,58;37,99%;32,929;0,16;0,26;0,82%
Coussin;8,92;1,19%;4,164;10;1,22;81,40%
Coussin 7;7,17;0,25%;1,593;23;1,74;33,30%
Non coussin;0,17;9,18%;7,62;3,833;0,47;6,73%
Cassant;7,75;15,46%;2,212;4,097;0,08;9,04%
Cassant 5;8,08;29,39%;1,383;4,407;0,07;11,63%
Non cassant;8;15,60%;2,129;3,7;0,09;7,44%
Etalement;8,08;29,39%;1,383;4,407;0,07;11,63%
Etalement 5;6,25;43,25%;21,763;0,343;0,4;1,24%
Non étalement;4,75;30,90%;19,012;1,22;0,12;4,81%
Doux;3;26,72%;4,192;0,224;0,08;7,40%
Non doux;6,58;37,99%;32,929;0,16;0,26;0,82%
Collant;4,75;30,90%;19,012;1,22;0,12;4,81%
Collant 5;8,17;25,13%;11,012;2,84;0,2;6,91%
Non collant;5,33;25,53%;4,426;1,897;0,18;3,01%
Gras;8;15,60%;2,129;3,7;0,09;7,44%
Gras 5;7,17;22,72%;2,126;4,5;0,16;9,01%
Pénétrant;4,17;23,08%;2,085;3,803;0,16;7,72%
Non pénétrant;7,17;36,58%;12,825;0,09;0,66;0,59%
Pelucheux;6,92;27,00%;3,101;18,333;0,36;30,63%
Non pelucheux;4,17;23,08%;2,085;3,803;0,16;7,72%
