Parametre;Glissant;Fmin C;Visco 1 - Visco 2;%R (60 s);?(0,01) (Pa.s);?(600) (Pa.s);k
Fluide;8,75;-2,238;42,825;1,019;53,94;0,1;1,13
Fluide 9;9,42;-3,867;664,9;0,763;665,49;0,15;2,88
Fluide 5;7,08;-21,289;5088,78;0,3;3314,97;0,51;0,98
Non fluide;4,33;-63,167;6202,647;0,623;4050,5;1,44;4,26
Filant;9,25;-3,381;705,557;0,5;528,2;0,13;0,57
Filant 5;8,92;-3,929;1061,383;0,625;831,38;0,1;0,47
Non Filant;7,08;-21,289;5088,78;0,3;3314,97;0,51;0,98
Glissant;8,83;-20,077;8805,582;1,021;7635,1;0,99;31,18
Glissant 5;5,83;-45,794;6332,925;0,526;3118,13;1,18;7,69
Non glissant;0,75;-98,8;24093,506;0,342;24958;5,55;1061,32
Coussin;4,25;-28,215;829,458;0,766;385,99;2,42;50,7
Coussin 7;9,5;-6,92;5,282;0,945;6,31;0,23;22,22
Non coussin;8,75;-2,238;42,825;1,019;53,94;0,1;1,13
Cassant;8,42;-7,185;1729,999;1,072;2624,37;0,35;9,45
Cassant 5;8,83;-20,077;8805,582;1,021;7635,1;0,99;31,18
Non cassant;5;-31,772;3508,499;0,605;3606,17;0,55;0
Etalement;8,83;-20,077;8805,582;1,021;7635,1;0,99;31,18
Etalement 5;5,83;-45,794;6332,925;0,526;3118,13;1,18;7,69
Non étalement;2;-91,933;26078,404;0,291;44456;3,5;72,9
Doux;7,5;-25,466;0;0;24637,67;1,63;13,82
Non doux;0,75;-98,8;24093,506;0,342;24958;5,55;1061,32
Collant;2;-91,933;26078,404;0,291;44456;3,5;72,9
Collant 5;4,75;-40,517;1967,585;0,98;1727,9;1,36;2,49
Non collant;7,33;-10,801;1960,618;0,982;2507,27;0,46;5,94
Gras;5;-31,772;3508,499;0,605;3606,17;0,55;0
Gras 5;8,08;-18,06;4006,728;0,898;3391,2;0,76;20,86
Pénétrant;9,58;-11,094;2553,4;0,962;2372,37;0,51;13,58
Non pénétrant;7,75;-34,276;2012,171;0,64;6971,5;1,33;17,97
Pelucheux;9,25;-3,381;705,557;0,5;528,2;0,13;0,57
Non pelucheux;9,58;-11,094;2553,4;0,962;2372,37;0,51;13,58
