Parametre;Gras;CoF 1;CoF 10
Fluide;5,5;0,069;0,089
Fluide 9;6,92;0,055;0,064
Fluide 5;4,75;0,236;0,325
Non fluide;7,33;0,085;0,081
Filant;7,83;0,045;0,046
Filant 5;7,75;0,062;0,056
Non Filant;4,75;0,236;0,325
Glissant;5,83;0,055;0,047
Glissant 5;7,33;0,096;0,087
Non glissant;8,5;0,092;0,049
Coussin;5,25;0,056;0,059
Coussin 7;5,17;0,057;0,062
Non coussin;5,5;0,069;0,089
Cassant;5,08;0,051;0,064
Cassant 5;5,83;0,055;0,047
Non cassant;9,08;0,065;0,051
Etalement;5,83;0,055;0,047
Etalement 5;7,33;0,096;0,087
Non étalement;5,75;0,14;0,071
Doux;6;0,111;0,085
Non doux;8,5;0,092;0,049
Collant;5,75;0,14;0,071
Collant 5;7,67;0,06;0,064
Non collant;2,17;0,086;0,099
Gras;9,08;0,065;0,051
Gras 5;5,33;0,128;0,118
Pénétrant;5;0,151;0,161
Non pénétrant;9,33;0,086;0,087
Pelucheux;7,83;0,045;0,046
Non pelucheux;5;0,151;0,161
